file,status,n_chunks,n_ticker_missing,elapsed_seconds,error
NASDAQ_ALIM_2021.parquet,ok,199,0,2.0,
NASDAQ_ALIM_2022.parquet,ok,222,0,2.0,
NASDAQ_ALJJ_2022.parquet,ok,114,0,1.6,
NASDAQ_ALKS_2018.parquet,ok,259,0,2.1,
NASDAQ_ALKS_2019.parquet,ok,276,0,2.2,
NASDAQ_ALKS_2020.parquet,ok,278,0,2.1,
NASDAQ_ALKS_2021.parquet,ok,301,0,3.2,
NASDAQ_ALLK_2018.parquet,ok,218,0,2.0,
NASDAQ_ALLK_2019.parquet,ok,330,0,4.0,
NASDAQ_ALLK_2020.parquet,ok,273,0,2.1,
NASDAQ_ALLK_2021.parquet,ok,253,0,2.0,
NASDAQ_ALLO_2018.parquet,ok,545,0,4.0,
NASDAQ_ALLO_2019.parquet,ok,380,0,3.1,
NASDAQ_ALLO_2020.parquet,ok,459,0,3.6,
NASDAQ_ALLO_2021.parquet,ok,292,0,3.0,
NASDAQ_ALLT_2017.parquet,ok,236,0,2.6,
NASDAQ_ALLT_2018.parquet,ok,231,0,2.0,
NASDAQ_ALLT_2019.parquet,ok,243,0,3.0,
NASDAQ_ALLT_2020.parquet,ok,252,0,8.3,
NASDAQ_ALLT_2021.parquet,ok,244,0,2.7,
NASDAQ_ALNA_2017.parquet,ok,359,0,4.1,
NASDAQ_ALNA_2018.parquet,ok,282,0,3.1,
NASDAQ_ALNA_2019.parquet,ok,301,0,2.6,
NASDAQ_ALNA_2020.parquet,ok,327,0,4.8,
NASDAQ_ALOT_2019.parquet,ok,113,0,1.8,
NASDAQ_ALOT_2020.parquet,ok,112,0,1.8,
NASDAQ_ALOT_2021.parquet,ok,123,0,1.7,
NASDAQ_ALOT_2022.parquet,ok,112,0,1.9,
NASDAQ_ALPN_2017.parquet,ok,407,0,3.4,
NASDAQ_ALPN_2018.parquet,ok,247,0,2.5,
NASDAQ_ALPN_2019.parquet,ok,249,0,2.8,
NASDAQ_ALPN_2020.parquet,ok,308,0,3.3,
NASDAQ_ALPN_2021.parquet,ok,414,0,4.3,
NASDAQ_ALRM_2017.parquet,ok,233,0,14.7,
NASDAQ_ALRM_2018.parquet,ok,243,0,3.5,
NASDAQ_ALRM_2019.parquet,ok,267,0,3.3,
NASDAQ_ALRM_2020.parquet,ok,225,0,4.5,
NASDAQ_ALRM_2021.parquet,ok,290,0,2.8,
