pdf_path,status,elapsed_seconds,n_chunks_word_count,form_type,company_name_mismatch,n_chunks_numeric_dense,error
../downolad_files\data/nasdaq_annual_reports/Investors-Bancorp-Inc/NASDAQ_ISBC_2018.pdf,ok,50.8,325,10-K,False,78,
../downolad_files\data/nasdaq_annual_reports/Microstrategy/NASDAQ_MSTR_2019.pdf,ok,26.8,137,10-K,False,39,
../downolad_files\data/nasdaq_annual_reports/Investors-Bancorp-Inc/NASDAQ_ISBC_2020.pdf,ok,54.9,265,10-K,False,91,
../downolad_files\data/nasdaq_annual_reports/Monolithic-Power-Systems-Inc/NASDAQ_MPWR_2016.pdf,ok,21.9,141,10-K,False,38,
../downolad_files\data/nasdaq_annual_reports/Investors-Bancorp-Inc/NASDAQ_ISBC_2019.pdf,ok,58.6,222,10-K,False,66,
../downolad_files\data/nasdaq_annual_reports/Monolithic-Power-Systems-Inc/NASDAQ_MPWR_2020.pdf,ok,28.1,149,10-K,False,37,
../downolad_files\data/nasdaq_annual_reports/Monolithic-Power-Systems-Inc/NASDAQ_MPWR_2019.pdf,ok,30.2,142,10-K,False,40,
../downolad_files\data/nasdaq_annual_reports/Microstrategy/NASDAQ_MSTR_2020.pdf,ok,52.1,167,10-K,True,24,
../downolad_files\data/nasdaq_annual_reports/Norwegian-Cruise-Line-Holdings-Ltd/NASDAQ_NCLH_2016.pdf,ok,39.8,188,10-K,False,53,
../downolad_files\data/nasdaq_annual_reports/Monolithic-Power-Systems-Inc/NASDAQ_MPWR_2017_9c9f88a34a1a4e3e91288a498c765e7c.pdf,ok,53.3,156,10-K,False,41,
../downolad_files\data/nasdaq_annual_reports/Paratek-Pharmaceuticals/NASDAQ_PRTK_2015.pdf,ok,1.3,4,,,1,
../downolad_files\data/nasdaq_annual_reports/Monolithic-Power-Systems-Inc/NASDAQ_MPWR_2018.pdf,ok,52.7,151,10-K,False,41,
../downolad_files\data/nasdaq_annual_reports/Norwegian-Cruise-Line-Holdings-Ltd/NASDAQ_NCLH_2018.pdf,ok,21.7,176,10-K,False,51,
