pdf_path,company,registrant_name,company_name_mismatch,error
../downolad_files/data/nasdaq_annual_reports\Insys-therapeutics-Inc\NASDAQ_INSY_2015.pdf,Insys-therapeutics-Inc,"Insys Therapeutics, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Insys-therapeutics-Inc\NASDAQ_INSY_2018.pdf,Insys-therapeutics-Inc,"Insys Therapeutics, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Insys-therapeutics-Inc\NASDAQ_INSY_2016.pdf,Insys-therapeutics-Inc,"Insys Therapeutics, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Insys-therapeutics-Inc\NASDAQ_INSY_2017.pdf,Insys-therapeutics-Inc,"Insys Therapeutics, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Intellia-Therapeutics-Inc\NASDAQ_NTLA_2020.pdf,Intellia-Therapeutics-Inc,"INTELLIA THERAPEUTICS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Intellia-Therapeutics-Inc\NASDAQ_NTLA_2018.pdf,Intellia-Therapeutics-Inc,"INTELLIA THERAPEUTICS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Intellia-Therapeutics-Inc\NASDAQ_NTLA_2021.pdf,Intellia-Therapeutics-Inc,"INTELLIA THERAPEUTICS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Intersect-ENT-Inc\NASDAQ_XENT_2015.pdf,Intersect-ENT-Inc,,,
../downolad_files/data/nasdaq_annual_reports\Intersect-ENT-Inc\NASDAQ_XENT_2017.pdf,Intersect-ENT-Inc,,,
../downolad_files/data/nasdaq_annual_reports\Intellia-Therapeutics-Inc\NASDAQ_NTLA_2019.pdf,Intellia-Therapeutics-Inc,"INTELLIA THERAPEUTICS, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Intersect-ENT-Inc\NASDAQ_XENT_2018.pdf,Intersect-ENT-Inc,"INTERSECT ENT, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Intersect-ENT-Inc\NASDAQ_XENT_2019.pdf,Intersect-ENT-Inc,"INTERSECT ENT, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Intra-Cellular-therapies-Inc\NASDAQ_ITCI_2016.pdf,Intra-Cellular-therapies-Inc,"Intra-Cellular Therapies, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Intersect-ENT-Inc\NASDAQ_XENT_2020.pdf,Intersect-ENT-Inc,,,
../downolad_files/data/nasdaq_annual_reports\Intra-Cellular-therapies-Inc\NASDAQ_ITCI_2017.pdf,Intra-Cellular-therapies-Inc,"Intra-Cellular Therapies, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Intra-Cellular-therapies-Inc\NASDAQ_ITCI_2018.pdf,Intra-Cellular-therapies-Inc,"Intra-Cellular Therapies, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Intra-Cellular-therapies-Inc\NASDAQ_ITCI_2020.pdf,Intra-Cellular-therapies-Inc,"Intra-Cellular Therapies, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Intra-Cellular-therapies-Inc\NASDAQ_ITCI_2019.pdf,Intra-Cellular-therapies-Inc,"Intra-Cellular Therapies, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Investors-Bancorp-Inc\NASDAQ_ISBC_2016.pdf,Investors-Bancorp-Inc,"Investors Bancorp, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Investors-Bancorp-Inc\NASDAQ_ISBC_2017.pdf,Investors-Bancorp-Inc,"Investors Bancorp, Inc.",False,
