path,pages,words,paragraphs,sliding_window_chunks,error
data/nasdaq_annual_reports\Investors-Bancorp-Inc\NASDAQ_ISBC_2020.pdf,154,80072,156,1601,
data/nasdaq_annual_reports\Microstrategy\NASDAQ_MSTR_2016.pdf,108,56622,156,1132,
data/nasdaq_annual_reports\Microstrategy\NASDAQ_MSTR_2017.pdf,112,58589,132,1171,
data/nasdaq_annual_reports\Microstrategy\NASDAQ_MSTR_2018.pdf,95,48542,108,970,
data/nasdaq_annual_reports\Microstrategy\NASDAQ_MSTR_2019.pdf,95,46892,106,937,
data/nasdaq_annual_reports\Microstrategy\NASDAQ_MSTR_2020.pdf,103,53754,1122,1075,
data/nasdaq_annual_reports\Monolithic-Power-Systems-Inc\NASDAQ_MPWR_2016.pdf,92,48011,934,960,
data/nasdaq_annual_reports\Monolithic-Power-Systems-Inc\NASDAQ_MPWR_2017_9c9f88a34a1a4e3e91288a498c765e7c.pdf,90,51338,3519,1026,
data/nasdaq_annual_reports\Monolithic-Power-Systems-Inc\NASDAQ_MPWR_2018.pdf,86,49459,3546,989,
data/nasdaq_annual_reports\Monolithic-Power-Systems-Inc\NASDAQ_MPWR_2019.pdf,83,45992,1127,919,
data/nasdaq_annual_reports\Monolithic-Power-Systems-Inc\NASDAQ_MPWR_2020.pdf,87,48226,1215,964,
data/nasdaq_annual_reports\Norwegian-Cruise-Line-Holdings-Ltd\NASDAQ_NCLH_2016.pdf,106,63913,1191,1278,
data/nasdaq_annual_reports\Norwegian-Cruise-Line-Holdings-Ltd\NASDAQ_NCLH_2017.pdf,104,59201,101,1184,
data/nasdaq_annual_reports\Norwegian-Cruise-Line-Holdings-Ltd\NASDAQ_NCLH_2018.pdf,122,61397,121,1227,
data/nasdaq_annual_reports\Norwegian-Cruise-Line-Holdings-Ltd\NASDAQ_NCLH_2019.pdf,129,60956,439,1219,
data/nasdaq_annual_reports\Norwegian-Cruise-Line-Holdings-Ltd\NASDAQ_NCLH_2020.pdf,148,78548,155,1570,
data/nasdaq_annual_reports\Paratek-Pharmaceuticals\NASDAQ_PRTK_2015.pdf,3,1279,41,25,
data/nasdaq_annual_reports\Paratek-Pharmaceuticals\NASDAQ_PRTK_2016.pdf,443,223967,4906,4479,
data/nasdaq_annual_reports\Paratek-Pharmaceuticals\NASDAQ_PRTK_2017.pdf,235,118211,4057,2364,
data/nasdaq_annual_reports\Paratek-Pharmaceuticals\NASDAQ_PRTK_2018.pdf,146,93425,2535,1868,
data/nasdaq_annual_reports\Paratek-Pharmaceuticals\NASDAQ_PRTK_2019.pdf,224,115860,511,2317,
data/nasdaq_annual_reports\T2-biosystems\NASDAQ_TTOO_2016.pdf,399,199167,5211,3983,
data/nasdaq_annual_reports\T2-biosystems\NASDAQ_TTOO_2017.pdf,345,206564,4027,4131,
data/nasdaq_annual_reports\T2-biosystems\NASDAQ_TTOO_2018.pdf,120,86305,119,1726,
data/nasdaq_annual_reports\T2-biosystems\NASDAQ_TTOO_2019.pdf,147,99478,542,1989,
data/nasdaq_annual_reports\T2-biosystems\NASDAQ_TTOO_2020.pdf,155,102378,637,2047,
data/nasdaq_annual_reports\Tile-shop-holdings\NASDAQ_TTS_2018.pdf,91,50963,1354,1019,
data/nasdaq_annual_reports\Tile-shop-holdings\NASDAQ_TTS_2019.pdf,77,40330,86,806,
data/nasdaq_annual_reports\Tile-shop-holdings\NASDAQ_TTS_2020.pdf,120,63169,927,1263,
data/nasdaq_annual_reports\Tile-shop-holdings\NASDAQ_TTS_2021.pdf,80,59593,80,1191,
data/nasdaq_annual_reports\a-mark-precious-metals\NASDAQ_AMRK_2017.pdf,106,59076,2814,1181,
data/nasdaq_annual_reports\a-mark-precious-metals\NASDAQ_AMRK_2018.pdf,103,57923,2982,1158,
data/nasdaq_annual_reports\a-mark-precious-metals\NASDAQ_AMRK_2019.pdf,106,58649,3086,1172,
data/nasdaq_annual_reports\a-mark-precious-metals\NASDAQ_AMRK_2020.pdf,123,61500,552,1229,
data/nasdaq_annual_reports\a-mark-precious-metals\NASDAQ_AMRK_2021.pdf,121,71079,3852,1421,
data/nasdaq_annual_reports\aaon-inc\NASDAQ_AAON_2019.pdf,108,42195,182,843,
data/nasdaq_annual_reports\aaon-inc\NASDAQ_AAON_2020.pdf,104,41539,188,830,
